Essay,Jurusan
gw suka mainin travo dalam desa dan tertarik dalam topik,SMK Teknologi dan Rekayasa
Saya suka pembangunan jalan seperti jalan tol,SMK Teknologi dan Rekayasa
Saya ingin membangun jalanan untuk area yang masih jalannya berantakan,SMK Teknologi dan Rekayasa
saya tertarik dengan pembuatan irigasi untuk sawah,SMK Teknologi dan Rekayasa
aku mau buat irigasi untuk yang bagus untuk pertanian di kampungku,SMK Teknologi dan Rekayasa
saya beraspirasi untuk membuat jembatan di area area terpencil di Indonesia,SMK Teknologi dan Rekayasa
aku ingin membangun jembatan terpanjang di dunia,SMK Teknologi dan Rekayasa
saya suka melihat gedung gedung dan ingin juga ikut membuatnya,SMK Teknologi dan Rekayasa
saya berharap dapat membuat gedung tertinggi di dunia,SMK Teknologi dan Rekayasa
aku suka lihat pembangunan gedung terutama gedung tinggi yang ada di Jakarta,SMK Teknologi dan Rekayasa
saya suka ketika melihat gedung terlihat bersih dan terawat dengan baik,SMK Teknologi dan Rekayasa
saya mau membuat jembatan untuk desa,SMK Teknologi dan Rekayasa
saya suka pembangunan jalan,SMK Teknologi dan Rekayasa
Saya tertarik dengan pembuatan jembatan,SMK Teknologi dan Rekayasa
Proses pembuatan irigasi untuk sawah menurut saya bagus,SMK Teknologi dan Rekayasa
Aku ingin membuat gedung sendiri,SMK Teknologi dan Rekayasa
Saya ingin fokus ke perawatan dan sanitasi bangunan,SMK Teknologi dan Rekayasa
Saya menikmati membuat desain bangunan,SMK Teknologi dan Rekayasa
saya ingin melakukan bisnis dibidang konstruksi dan properti,SMK Teknologi dan Rekayasa
saya mau model gedung saya menjadi kenyataan,SMK Teknologi dan Rekayasa
saya ingin mengatur proses membangun gedung,SMK Teknologi dan Rekayasa
saya ingin tau lebih banyak tentang kejadian dimuka bumi,SMK Teknologi dan Rekayasa
saya ingin belajar lebih lanjut tentang gempa,SMK Teknologi dan Rekayasa
aku mau belajar tentang bencana alam yang terjadi,SMK Teknologi dan Rekayasa
aku ingin tau cara survei tanah,SMK Teknologi dan Rekayasa
saya ingin membuat perencanaan tambang,SMK Teknologi dan Rekayasa
aku mau kerja di PLN,SMK Teknologi dan Rekayasa
saya mau belajar membuat jaringan listrik yang aman,SMK Teknologi dan Rekayasa
saya suka melihat mesin bekerja secara otomatis di pabrik,SMK Teknologi dan Rekayasa
saya ingin mengatur mesin agar bekerja dengan baik,SMK Teknologi dan Rekayasa
saya ingin tau bagaimana cara memasang alat listrik,SMK Teknologi dan Rekayasa
saya ingin alat listrik dirumah saya selalu berfungsi dengan baik,SMK Teknologi dan Rekayasa
saya ingin membuat AC yang bagus,SMK Teknologi dan Rekayasa
Aku suka bikin barang dari logam kayak di pabrik.,SMK Teknologi dan Rekayasa
Aku pengen belajar cara bikin logam jadi barang yang bisa dipakai.,SMK Teknologi dan Rekayasa
aku mau gambar mesin ku jadi kenyataan,SMK Teknologi dan Rekayasa
saya ingin ahli dalam membuat gambar mesin yang bagus,SMK Teknologi dan Rekayasa
saya ingin dapat memperbaiki mesin,SMK Teknologi dan Rekayasa
saya mau pandai ngelas,SMK Teknologi dan Rekayasa
saya ingin pakai mesin untuk membuat mesin baru,SMK Teknologi dan Rekayasa
saya ingin dapat mencetak mengggunakan logam,SMK Teknologi dan Rekayasa
saya suka dengan pesawat,SMK Teknologi dan Rekayasa
saya ingin membuat pesawat sendiri,SMK Teknologi dan Rekayasa
saya ingin membuat mesin yang dipakai pesawat,SMK Teknologi dan Rekayasa
saya mau tau bagaiamana cara pesawat bisa terbang,SMK Teknologi dan Rekayasa
saya ingin menyusun bentuk pesawat sendiri,SMK Teknologi dan Rekayasa
saya ingin merancang pesawat dan dipakai oleh banyak orang,SMK Teknologi dan Rekayasa
saya ingin desain saya dapat dipajang sebagai spanduk,SMK Teknologi dan Rekayasa
saya ingin membuat poster dan logo yang bagus,SMK Teknologi dan Rekayasa
saya ingin dapat karya saya sebagus karya yang saya lihat di internet,SMK Teknologi dan Rekayasa
saya suka teknologi yang dapat mengatur mesin agar bekerja dengan efisien,SMK Teknologi dan Rekayasa
saya ingin membuat mesin bekerja secara otomatis dan tanpa hambatan,SMK Teknologi dan Rekayasa
saya ingin membuat barang datang dengan tepat waktu,SMK Teknologi dan Rekayasa
saya ingin distribusi yang lebih baik,SMK Teknologi dan Rekayasa
saya mau proses di pabrik lebih efisien,SMK Teknologi dan Rekayasa
aku ingin bisa mengatur proses produksi lebih teratur,SMK Teknologi dan Rekayasa
saya ingin membuat kain yang bagus,SMK Teknologi dan Rekayasa
saya mau buat benang yang serbaguna,SMK Teknologi dan Rekayasa
saya ingin benang buatan untuk bahan kain yang berfungsi disemua bidang,SMK Teknologi dan Rekayasa
saya suka dengan kain yang halus,SMK Teknologi dan Rekayasa
saya penasaran dengan bahan apa saja yang digunakan dalam membuat kain,SMK Teknologi dan Rekayasa
saya ingin membuat bahan kain yang berkualitas,SMK Teknologi dan Rekayasa
saya ingin bisa memahami bahan kimia,SMK Teknologi dan Rekayasa
saya ingin melakukan pengujian bahan kimia,SMK Teknologi dan Rekayasa
saya tertarik dengan bahan-bahan yang digunakan dalam industri,SMK Teknologi dan Rekayasa
saya ingin tau apa saja bahan yang digunakan dalam membuat sebuah produk,SMK Teknologi dan Rekayasa
saya ingin bekerja dengan alat alat di laboratorium,SMK Teknologi dan Rekayasa
saya ingin melakukan berbagai pengujian di ruangan lab,SMK Teknologi dan Rekayasa
saya ingin mengatur jaringan listrik,SMK Teknologi dan Rekayasa
saya ingin menguji berbagai macam mesin penghasil listrik,SMK Teknologi dan Rekayasa
Saya suka dengan mesin kendaraan,SMK Teknologi dan Rekayasa
saya ingin dapat ilmu tentang merawat mobil dengan baik,SMK Teknologi dan Rekayasa
aku mau bisa buat mesin untuk mobil f1,SMK Teknologi dan Rekayasa
aku mau buat mesin motogp,SMK Teknologi dan Rekayasa
saya ingin tau bagaimana mesin mengubah energi untuk menjalankan kendaraan,SMK Teknologi dan Rekayasa
saya ingin punya pengetahuan tentang mesin mesin canggih,SMK Teknologi dan Rekayasa
saya ingin bisa memperbaiki kendaraan saya sendiri,SMK Teknologi dan Rekayasa
saya ingin bagian luar mobil saya tetap bagus,SMK Teknologi dan Rekayasa
saya penasaran dengan alat berat di proyek proyek,SMK Teknologi dan Rekayasa
saya ingin tau cara mengoperasikan alat berat,SMK Teknologi dan Rekayasa
